"drugName","drugGroup","doseDog1 (mg/kg)","indicationDog1","doseDog2 (mg/kg)","indicationDog2","doseDog3 (mg/kg)","indicationDog3","doseDog4 (mg/kg)","indicationDog4","doseDog5 (mg/kg)","indicationDog5","doseCat1 (mg/kg)","indicationCat1","doseCat2 (mg/kg)","indicationCat2","doseCat3 (mg/kg)","indicationCat3","doseCat4 (mg/kg)","indicationCat4","doseCat5 (mg/kg)","indicationCat5","contraindication"
"Oclacitinib (Apoquel)","ยารักษาผิวหนัง","0.4-0.6 mg/kg","Atopic dermatitis, pruritus (ให้ทุก 12 ชม. 14 วัน แล้วลดเป็นวันละครั้ง)","","","","","","","","","","","","","","","","","","","ห้ามสุนัข <12 เดือน, ระวัง neoplasia"
"Pentoxifylline","ยารักษาผิวหนัง/หลอดเลือด","10-25 mg/kg","Dermatomyositis, ischemic dermatopathy, vasculitis (ทุก 8-12 ชม.)","","","","","","","","","","","","","","","","","","","ระวัง GI, ระวังเลือดออกในสมอง"
"Pilocarpine (eye drops)","ยาหยอดตา","1-2% solution, 1-2 drops","Glaucoma (หยอดทุก 8-12 ชม.)","","","","","","","","","0.5-1% solution, 1-2 drops","Glaucoma (หยอดทุก 8-12 ชม.)","","","","","","","","","ระวัง systemic toxicity, ห้ามแผลกระจกตา"
"Dorzolamide (Trusopt)","ยาหยอดตา","1-2 drops 2% solution","Glaucoma (หยอดทุก 8-12 ชม.)","","","","","","","","","1-2 drops 2% solution","Glaucoma (หยอดทุก 8-12 ชม.)","","","","","","","","","แพ้ sulfa, ระวัง corneal damage"
"Tacrolimus (Protopic 0.02-0.1%)","ยาหยอดตา/ทาผิว","0.02-0.1% ointment, 1 drop","KCS, Pannus (หยอดทุก 12 ชม.)","","","","","","","","","","","","","","","","","","","ระวังระคายเคืองตา, ติดเชื้อเฉพาะที่"
"Lactulose","ยาระบาย/รักษา HE","0.5-1 ml/kg","ท้องผูก (ให้ทุก 8-12 ชม.)","0.25-0.5 ml/kg","Hepatic encephalopathy (ให้ทุก 6-8 ชม.)","","","","","","","0.25-1 ml/kg","ท้องผูก, Megacolon (ให้ทุก 8-12 ชม.)","0.25-0.5 ml/kg","Hepatic encephalopathy (ให้ทุก 6-8 ชม.)","","","","","","","ระวัง flatulence, ท้องเสียถ้ามากเกิน"
"Ursodeoxycholic Acid (UDCA)","ยารักษาตับ/น้ำดี","5-15 mg/kg","โรคตับเรื้อรัง, cholelithiasis (ให้วันละครั้ง)","","","","","","","","","10-15 mg/kg","โรคตับเรื้อรัง, cholangiohepatitis (ให้วันละครั้ง)","","","","","","","","","ห้ามท่อน้ำดีอุดตัน, ห้ามท้องต้น"
"S-Adenosylmethionine (SAMe)","ยาช่วยตับ","20 mg/kg","โรคตับ, acetaminophen toxicity (ให้วันละครั้ง ท้องว่าง)","","","","","","","","","20 mg/kg","โรคตับ, acetaminophen toxicity (ให้วันละครั้ง)","","","","","","","","","ระวัง GI, ระวังร่วม MAOIs"
"Dopamine","ยากระตุ้นหัวใจ/ความดัน","2-10 mcg/kg/min CRI","ความดันโลหิตต่ำ, ภาวะช็อก (ต่ำ = renal, สูง = cardiac)","","","","","","","","","2-10 mcg/kg/min CRI","ความดันโลหิตต่ำ, ภาวะช็อก","","","","","","","","","ห้ามฉีดรั่ว necrosis, ระวัง arrhythmia"
"Misoprostol","ยาป้องกันกระเพาะ","1-5 mcg/kg","ป้องกัน NSAID-induced GI ulcer (ให้ทุก 8 ชม.)","","","","","","","","","","","","","","","","","","","ห้ามท้อง (แท้ง), ระวัง GI cramping"
"Bisacodyl","ยาระบาย","1-4 mg/dog PO","ท้องผูก (ให้วันละครั้ง)","","","","","","","","","1-5 mg/cat PO","ท้องผูก, Megacolon (ให้วันละครั้ง)","","","","","","","","","ห้ามลำไส้อุดตัน, ระวังแผลไส้ตรง"
"Loperamide","ยาแก้ท้องเสีย","0.08-0.16 mg/kg","ท้องเสียเฉียบพลัน (ให้ทุก 6-8 ชม.)","","","","","","","","","","","","","","","","","","","ห้าม MDR1, ห้ามติดเชื้อ, ห้ามแมว"
"Kaolin-Pectin","ยาแก้ท้องเสีย","1-2 ml/kg","ท้องเสียเฉียบพลัน (ให้ทุก 4-6 ชม.)","","","","","","","","","1-2 ml/kg","ท้องเสียเฉียบพลัน (ให้ทุก 4-6 ชม.)","","","","","","","","","ห่างยาอื่น 2 ชม. (ลดดูดซึม)"
"Activated Charcoal","ยาต้านพิษ","1-4 g/kg PO","ดูดซับพิษ ภายใน 1-2 ชม. หลังได้รับ","","","","","","","","","1-3 g/kg PO","ดูดซับพิษ ภายใน 1-2 ชม. หลังได้รับ","","","","","","","","","ห้ามกรด/ด่าง, ระวัง aspiration"
"Phenylpropanolamine (PPA)","ยารักษาปัสสาวะเล็ด","1-1.5 mg/kg PO","Urethral sphincter mechanism incompetence (ทุก 8-12 ชม.)","","","","","","","","","","","","","","","","","","","ระวัง hypertension, ห้ามโรคหัวใจ"
"Prazosin","ยารักษาการอุดตันของท่อปัสสาวะ","0.5-2 mg/dog PO","Urethral spasm, functional obstruction (ทุก 8-12 ชม.)","","","","","","","","","0.25-0.5 mg/cat PO","FUS urethral spasm หลัง unblocking (ทุก 12-24 ชม.)","","","","","","","","","ระวัง first-dose hypotension"
"Bethanechol","ยากระตุ้นกระเพาะปัสสาวะ","5-25 mg/dog PO","กระเพาะปัสสาวะไม่หดตัว, Detrusor atony (ทุก 8 ชม.)","","","","","","","","","1.25-5 mg/cat PO","Detrusor atony (ทุก 8-12 ชม.)","","","","","","","","","ห้ามทางเดินปัสสาวะอุดตัน"
"Clopidogrel (Plavix)","ยาต้านเกล็ดเลือด","2-3 mg/kg PO","ป้องกัน thromboembolism (ให้วันละครั้ง)","","","","","","","","","18.75 mg/cat PO","ป้องกัน aortic thromboembolism (ให้วันละครั้ง)","","","","","","","","","ระวังเลือดออก, ห้ามก่อนผ่าตัด 7 วัน"
"Stanozolol","ยากระตุ้นการสร้างเม็ดเลือด","1-4 mg/dog PO","โลหิตจาง aplastic anemia, anorexia, muscle wasting (ทุก 12 ชม.)","","","","","","","","","1-2 mg/cat PO","โลหิตจาง, anorexia, cachexia (ทุก 12-24 ชม.)","","","","","","","","","ระวังตับพิษ, ห้ามท้อง"
